customer_id,first_name,last_name,email,phone,registration_date,city,state,age,segment,annual_income,email_subscribed
CUST_0001,FirstName1,LastName1,customer1@email.com,+1-555-157-6299,2023-03-13,San Antonio,TX,62,Standard,98802,True
CUST_0002,FirstName2,LastName2,customer2@email.com,+1-555-689-9968,2022-01-06,Dallas,TX,56,Premium,94852,True
CUST_0003,FirstName3,LastName3,customer3@email.com,+1-555-287-2214,2022-01-10,Los Angeles,CA,22,Premium,116221,True
CUST_0004,FirstName4,LastName4,customer4@email.com,+1-555-630-4136,2023-04-24,San Diego,CA,20,Standard,81241,True
CUST_0005,FirstName5,LastName5,customer5@email.com,+1-555-192-7569,2023-12-26,Phoenix,AZ,37,Standard,61996,False
CUST_0006,FirstName6,LastName6,customer6@email.com,+1-555-619-4056,2021-11-10,Houston,TX,48,Standard,63749,True
CUST_0007,FirstName7,LastName7,customer7@email.com,+1-555-900-7553,2023-01-18,San Jose,CA,43,Basic,130664,False
CUST_0008,FirstName8,LastName8,customer8@email.com,+1-555-622-4126,2021-04-24,New York,NY,19,Standard,132179,True
CUST_0009,FirstName9,LastName9,customer9@email.com,+1-555-385-2033,2021-05-26,New York,NY,52,Standard,26620,True
CUST_0010,FirstName10,LastName10,customer10@email.com,+1-555-270-9140,2023-04-15,Dallas,TX,35,Standard,116707,True
CUST_0011,FirstName11,LastName11,customer11@email.com,+1-555-889-9599,2023-10-11,Houston,TX,57,Standard,130025,True
CUST_0012,FirstName12,LastName12,customer12@email.com,+1-555-969-1236,2023-02-25,New York,NY,40,Standard,88865,True
CUST_0013,FirstName13,LastName13,customer13@email.com,+1-555-718-2032,2023-06-25,San Diego,CA,21,Basic,93476,True
CUST_0014,FirstName14,LastName14,customer14@email.com,+1-555-488-5942,2023-12-21,Dallas,TX,67,Premium,56283,True
CUST_0015,FirstName15,LastName15,customer15@email.com,+1-555-468-7487,2023-10-15,San Diego,CA,45,Standard,28098,False
CUST_0016,FirstName16,LastName16,customer16@email.com,+1-555-161-6181,2023-04-29,Phoenix,AZ,55,Premium,95423,True
CUST_0017,FirstName17,LastName17,customer17@email.com,+1-555-787-4192,2022-08-29,Chicago,IL,30,Standard,106311,True
CUST_0018,FirstName18,LastName18,customer18@email.com,+1-555-436-6095,2023-06-29,Philadelphia,PA,36,Basic,108265,True
